palabra,Coldplay,Linkin Park,Eminem,The White Stripes,The Strokes,Arctic Monkeys,Muse,System of a Down,OutKast,The Killers,Beyoncé,Justin Timberlake,50 Cent,Kanye West,Amy Winehouse,total
game,4.0,59.0,316.0,3.0,9.0,11.0,7.0,20.0,49.0,9.0,57.0,35.0,346.0,165.0,5.0,1095.0
hard,15.0,72.0,187.0,10.0,40.0,30.0,6.0,8.0,34.0,35.0,110.0,72.0,296.0,159.0,16.0,1090.0
bad,12.0,17.0,319.0,5.0,15.0,20.0,6.0,6.0,45.0,29.0,171.0,52.0,164.0,213.0,7.0,1081.0
two,26.0,17.0,413.0,12.0,11.0,22.0,3.0,24.0,61.0,21.0,73.0,73.0,166.0,139.0,15.0,1076.0
face,26.0,114.0,320.0,15.0,13.0,24.0,18.0,17.0,45.0,38.0,113.0,36.0,176.0,92.0,9.0,1056.0
crazy,14.0,9.0,313.0,5.0,0.0,8.0,2.0,17.0,15.0,11.0,277.0,84.0,183.0,113.0,1.0,1052.0
stay,30.0,53.0,194.0,7.0,29.0,16.0,12.0,17.0,49.0,51.0,141.0,78.0,247.0,113.0,8.0,1045.0
eminem,0.0,2.0,952.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,82.0,3.0,0.0,1042.0
im,5.0,9.0,322.0,7.0,6.0,1.0,1.0,15.0,13.0,4.0,29.0,36.0,547.0,45.0,1.0,1041.0
hands,57.0,24.0,155.0,11.0,4.0,14.0,6.0,21.0,11.0,22.0,152.0,96.0,233.0,224.0,2.0,1032.0
name,21.0,46.0,383.0,18.0,8.0,15.0,8.0,7.0,34.0,35.0,156.0,41.0,124.0,116.0,12.0,1024.0
told,29.0,36.0,260.0,12.0,8.0,32.0,8.0,7.0,18.0,21.0,73.0,43.0,207.0,242.0,16.0,1012.0
play,4.0,29.0,225.0,5.0,7.0,12.0,10.0,18.0,46.0,12.0,77.0,92.0,333.0,129.0,13.0,1012.0
watch,19.0,50.0,197.0,7.0,12.0,11.0,18.0,10.0,20.0,15.0,142.0,53.0,340.0,98.0,11.0,1003.0
bout,4.0,22.0,257.0,0.0,2.0,2.0,0.0,2.0,56.0,5.0,108.0,50.0,240.0,235.0,19.0,1002.0
done,22.0,66.0,220.0,14.0,7.0,15.0,11.0,4.0,52.0,21.0,72.0,47.0,284.0,147.0,5.0,987.0
body,8.0,24.0,135.0,2.0,9.0,7.0,2.0,11.0,16.0,9.0,267.0,182.0,155.0,126.0,12.0,965.0
ima,1.0,6.0,367.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,71.0,64.0,251.0,194.0,1.0,964.0
top,12.0,63.0,153.0,38.0,8.0,5.0,0.0,2.0,28.0,18.0,249.0,34.0,261.0,85.0,3.0,959.0
tonight,10.0,55.0,134.0,2.0,14.0,34.0,9.0,8.0,14.0,53.0,267.0,134.0,93.0,119.0,12.0,958.0
everybody,14.0,47.0,215.0,4.0,15.0,14.0,2.0,79.0,37.0,18.0,142.0,60.0,128.0,175.0,2.0,952.0
first,25.0,31.0,275.0,8.0,9.0,29.0,8.0,3.0,30.0,13.0,89.0,28.0,210.0,180.0,6.0,944.0
left,18.0,101.0,247.0,17.0,31.0,24.0,37.0,40.0,41.0,24.0,112.0,50.0,104.0,69.0,14.0,929.0
going,73.0,33.0,283.0,23.0,19.0,46.0,9.0,25.0,15.0,39.0,92.0,55.0,102.0,100.0,6.0,920.0
black,6.0,28.0,225.0,20.0,0.0,14.0,25.0,6.0,36.0,13.0,89.0,24.0,190.0,220.0,22.0,918.0
till,9.0,29.0,278.0,6.0,1.0,0.0,4.0,6.0,20.0,29.0,66.0,111.0,229.0,117.0,10.0,915.0
wit,0.0,4.0,270.0,1.0,0.0,2.0,0.0,3.0,46.0,0.0,23.0,21.0,459.0,81.0,1.0,911.0
live,37.0,130.0,196.0,3.0,12.0,1.0,13.0,27.0,29.0,34.0,117.0,26.0,109.0,162.0,10.0,906.0
last,20.0,113.0,268.0,6.0,14.0,32.0,28.0,4.0,22.0,33.0,56.0,36.0,107.0,141.0,19.0,899.0
break,33.0,124.0,151.0,11.0,14.0,13.0,54.0,15.0,32.0,32.0,103.0,76.0,165.0,72.0,1.0,896.0
mean,34.0,33.0,213.0,7.0,9.0,12.0,5.0,1.0,32.0,16.0,28.0,50.0,293.0,150.0,9.0,892.0
niggaz,1.0,3.0,164.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,537.0,65.0,0.0,876.0
die,18.0,22.0,255.0,0.0,5.0,3.0,24.0,93.0,20.0,17.0,52.0,68.0,180.0,116.0,2.0,875.0
another,30.0,84.0,210.0,26.0,8.0,16.0,24.0,27.0,34.0,41.0,98.0,86.0,76.0,96.0,6.0,862.0
aint,1.0,0.0,246.0,3.0,0.0,0.0,0.0,0.0,20.0,1.0,37.0,57.0,408.0,84.0,2.0,859.0
came,38.0,37.0,226.0,11.0,9.0,19.0,4.0,5.0,30.0,18.0,69.0,42.0,201.0,140.0,8.0,857.0
wrong,47.0,106.0,154.0,11.0,31.0,25.0,54.0,25.0,30.0,26.0,49.0,36.0,126.0,114.0,21.0,855.0
side,35.0,50.0,168.0,10.0,78.0,17.0,10.0,22.0,29.0,21.0,99.0,69.0,86.0,154.0,6.0,854.0
thought,15.0,60.0,229.0,26.0,7.0,50.0,25.0,1.0,39.0,8.0,96.0,50.0,111.0,126.0,9.0,852.0
end,47.0,112.0,200.0,5.0,48.0,18.0,23.0,27.0,32.0,24.0,70.0,56.0,96.0,77.0,9.0,844.0
light,89.0,93.0,107.0,3.0,14.0,16.0,23.0,22.0,22.0,56.0,114.0,94.0,56.0,128.0,2.0,839.0
beat,5.0,25.0,286.0,5.0,1.0,3.0,5.0,34.0,27.0,12.0,65.0,15.0,186.0,118.0,43.0,830.0
damn,6.0,11.0,240.0,1.0,6.0,1.0,2.0,9.0,38.0,7.0,116.0,67.0,195.0,127.0,2.0,828.0
move,7.0,43.0,117.0,3.0,3.0,11.0,15.0,0.0,45.0,30.0,130.0,68.0,260.0,93.0,3.0,828.0
work,17.0,5.0,87.0,8.0,14.0,1.0,4.0,2.0,21.0,11.0,134.0,78.0,212.0,216.0,13.0,823.0
la,106.0,4.0,40.0,103.0,1.0,23.0,3.0,5.0,11.0,15.0,265.0,24.0,127.0,92.0,4.0,823.0
whole,12.0,27.0,265.0,3.0,6.0,2.0,10.0,6.0,44.0,14.0,60.0,31.0,143.0,186.0,4.0,813.0
rap,1.0,20.0,405.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,19.0,1.0,225.0,111.0,2.0,812.0
mine,30.0,39.0,122.0,14.0,5.0,27.0,10.0,25.0,20.0,21.0,156.0,53.0,169.0,99.0,21.0,811.0
looking,40.0,30.0,115.0,45.0,9.0,26.0,5.0,15.0,19.0,42.0,218.0,79.0,62.0,79.0,27.0,811.0
might,21.0,25.0,241.0,23.0,7.0,35.0,4.0,5.0,46.0,23.0,65.0,54.0,115.0,139.0,7.0,810.0
walk,14.0,26.0,197.0,25.0,16.0,18.0,7.0,11.0,16.0,15.0,103.0,113.0,146.0,89.0,13.0,809.0
dont,10.0,36.0,217.0,19.0,2.0,0.0,6.0,2.0,28.0,3.0,47.0,62.0,334.0,30.0,1.0,797.0
inside,48.0,236.0,184.0,7.0,8.0,4.0,37.0,14.0,17.0,11.0,61.0,29.0,51.0,73.0,10.0,790.0
please,13.0,20.0,238.0,17.0,32.0,16.0,27.0,5.0,16.0,20.0,117.0,61.0,93.0,100.0,15.0,790.0
nobody,18.0,75.0,229.0,20.0,9.0,3.0,1.0,3.0,33.0,7.0,132.0,72.0,75.0,95.0,14.0,786.0
white,9.0,8.0,431.0,31.0,1.0,4.0,0.0,6.0,20.0,35.0,28.0,23.0,90.0,96.0,4.0,786.0
best,16.0,50.0,170.0,12.0,14.0,13.0,21.0,4.0,19.0,14.0,111.0,44.0,166.0,104.0,25.0,783.0
maybe,48.0,25.0,233.0,32.0,17.0,17.0,2.0,17.0,28.0,36.0,46.0,78.0,87.0,98.0,14.0,778.0
u,1.0,45.0,242.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,36.0,105.0,320.0,17.0,1.0,776.0
cuz,2.0,4.0,298.0,1.0,1.0,0.0,1.0,1.0,53.0,1.0,46.0,55.0,239.0,70.0,4.0,776.0
hot,13.0,3.0,157.0,4.0,0.0,6.0,0.0,1.0,19.0,3.0,56.0,36.0,385.0,89.0,3.0,775.0
fall,63.0,112.0,177.0,7.0,12.0,15.0,25.0,31.0,31.0,19.0,65.0,56.0,91.0,62.0,3.0,769.0
place,44.0,101.0,199.0,16.0,27.0,29.0,12.0,11.0,35.0,63.0,52.0,47.0,73.0,43.0,11.0,763.0
old,34.0,18.0,196.0,16.0,17.0,14.0,10.0,33.0,40.0,29.0,55.0,65.0,119.0,106.0,11.0,763.0
rock,6.0,45.0,233.0,2.0,1.0,7.0,0.0,5.0,35.0,7.0,129.0,30.0,159.0,100.0,1.0,760.0
wait,29.0,29.0,188.0,3.0,64.0,12.0,14.0,3.0,61.0,13.0,92.0,64.0,81.0,96.0,9.0,758.0
without,20.0,50.0,202.0,4.0,13.0,18.0,18.0,11.0,27.0,20.0,137.0,48.0,117.0,58.0,9.0,752.0
start,31.0,46.0,199.0,8.0,4.0,21.0,7.0,4.0,39.0,8.0,60.0,60.0,182.0,70.0,5.0,744.0
x,8.0,28.0,189.0,12.0,1.0,1.0,1.0,35.0,73.0,2.0,33.0,14.0,285.0,60.0,1.0,743.0
huh,0.0,8.0,135.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,125.0,37.0,236.0,171.0,0.0,739.0
dance,9.0,8.0,111.0,2.0,5.0,10.0,1.0,21.0,17.0,17.0,190.0,219.0,89.0,34.0,5.0,738.0
hate,1.0,61.0,265.0,7.0,8.0,11.0,6.0,7.0,19.0,2.0,36.0,34.0,173.0,101.0,3.0,734.0
girls,12.0,5.0,107.0,4.0,12.0,12.0,0.0,0.0,13.0,26.0,269.0,33.0,99.0,117.0,16.0,725.0
fucking,11.0,20.0,399.0,0.0,3.0,8.0,23.0,7.0,16.0,1.0,9.0,4.0,162.0,53.0,2.0,718.0
guess,15.0,28.0,251.0,13.0,11.0,7.0,2.0,13.0,20.0,10.0,27.0,95.0,74.0,143.0,5.0,714.0
next,9.0,23.0,224.0,14.0,12.0,9.0,0.0,5.0,14.0,4.0,59.0,41.0,192.0,86.0,16.0,708.0
hood,1.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,36.0,3.0,478.0,71.0,1.0,706.0
believe,30.0,32.0,140.0,2.0,13.0,16.0,12.0,24.0,26.0,25.0,75.0,87.0,127.0,91.0,5.0,705.0
friends,38.0,21.0,136.0,18.0,30.0,14.0,5.0,5.0,8.0,23.0,50.0,38.0,146.0,148.0,25.0,705.0
many,8.0,37.0,182.0,6.0,7.0,4.0,11.0,12.0,21.0,16.0,53.0,31.0,193.0,111.0,11.0,703.0
alone,21.0,112.0,132.0,24.0,37.0,14.0,28.0,12.0,21.0,16.0,63.0,71.0,75.0,47.0,20.0,693.0
shady,0.0,0.0,577.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,89.0,9.0,0.0,692.0
enough,6.0,30.0,209.0,8.0,13.0,18.0,13.0,3.0,24.0,16.0,75.0,70.0,114.0,84.0,6.0,689.0
ready,6.0,19.0,172.0,4.0,2.0,4.0,0.0,10.0,19.0,11.0,103.0,42.0,146.0,146.0,1.0,685.0
heard,29.0,23.0,128.0,10.0,7.0,12.0,10.0,0.0,18.0,20.0,34.0,50.0,221.0,96.0,23.0,681.0
drop,3.0,22.0,178.0,4.0,6.0,3.0,0.0,6.0,24.0,8.0,70.0,16.0,243.0,94.0,3.0,680.0
care,8.0,20.0,111.0,18.0,17.0,10.0,42.0,23.0,10.0,21.0,160.0,41.0,108.0,71.0,18.0,678.0
free,53.0,51.0,84.0,5.0,12.0,4.0,53.0,36.0,7.0,77.0,53.0,22.0,60.0,128.0,28.0,673.0
