palabra,U2,Michael Jackson,Madonna,Guns N' Roses,Metallica,The Police,Bon Jovi,Duran Duran,The Cure,Prince,Whitney Houston,Depeche Mode,Talking Heads,Tears for Fears,New Order,total
best,56.0,23.0,284.0,14.0,16.0,12.0,33.0,9.0,18.0,132.0,26.0,18.0,13.0,20.0,8.0,682.0
real,33.0,68.0,122.0,45.0,24.0,2.0,61.0,18.0,38.0,190.0,22.0,10.0,11.0,9.0,29.0,682.0
ready,35.0,39.0,356.0,7.0,6.0,2.0,21.0,7.0,2.0,159.0,24.0,10.0,12.0,0.0,0.0,680.0
beat,43.0,155.0,271.0,9.0,8.0,3.0,29.0,24.0,6.0,113.0,3.0,7.0,1.0,1.0,4.0,677.0
forever,53.0,107.0,143.0,18.0,41.0,3.0,78.0,29.0,35.0,47.0,57.0,13.0,4.0,19.0,27.0,674.0
two,56.0,35.0,333.0,16.0,17.0,10.0,62.0,16.0,24.0,41.0,15.0,8.0,17.0,5.0,17.0,672.0
maybe,39.0,37.0,97.0,19.0,9.0,6.0,72.0,50.0,56.0,228.0,20.0,4.0,10.0,10.0,14.0,671.0
work,49.0,40.0,102.0,5.0,6.0,6.0,81.0,2.0,7.0,293.0,9.0,6.0,32.0,19.0,14.0,671.0
high,52.0,70.0,99.0,42.0,22.0,13.0,71.0,26.0,21.0,165.0,22.0,13.0,6.0,21.0,26.0,669.0
must,18.0,78.0,167.0,13.0,41.0,26.0,30.0,38.0,19.0,157.0,20.0,18.0,18.0,16.0,9.0,668.0
ya,13.0,95.0,102.0,53.0,52.0,5.0,24.0,13.0,0.0,285.0,11.0,1.0,3.0,0.0,1.0,658.0
open,46.0,22.0,250.0,7.0,70.0,8.0,52.0,14.0,19.0,72.0,21.0,25.0,21.0,14.0,15.0,656.0
days,108.0,49.0,56.0,7.0,13.0,15.0,125.0,17.0,27.0,117.0,26.0,14.0,24.0,29.0,22.0,649.0
coming,79.0,30.0,173.0,10.0,24.0,4.0,74.0,76.0,31.0,55.0,25.0,35.0,17.0,4.0,10.0,647.0
touch,24.0,116.0,79.0,24.0,35.0,3.0,65.0,35.0,37.0,135.0,23.0,46.0,8.0,7.0,6.0,643.0
ah,26.0,166.0,251.0,14.0,12.0,8.0,4.0,17.0,2.0,97.0,30.0,2.0,2.0,6.0,0.0,637.0
pain,40.0,46.0,120.0,37.0,65.0,13.0,60.0,16.0,18.0,70.0,41.0,47.0,1.0,51.0,9.0,634.0
remember,25.0,133.0,145.0,13.0,6.0,5.0,68.0,21.0,62.0,61.0,38.0,16.0,22.0,2.0,13.0,630.0
feeling,46.0,88.0,75.0,8.0,38.0,8.0,62.0,55.0,32.0,107.0,39.0,37.0,10.0,8.0,16.0,629.0
heaven,43.0,40.0,141.0,30.0,13.0,7.0,72.0,15.0,29.0,137.0,22.0,24.0,12.0,28.0,6.0,619.0
door,68.0,30.0,109.0,39.0,28.0,13.0,82.0,27.0,13.0,122.0,29.0,23.0,17.0,5.0,9.0,614.0
happy,19.0,45.0,183.0,4.0,30.0,4.0,49.0,14.0,54.0,148.0,10.0,14.0,17.0,20.0,1.0,612.0
help,49.0,61.0,122.0,17.0,45.0,2.0,89.0,21.0,29.0,80.0,14.0,29.0,22.0,13.0,14.0,607.0
alive,28.0,46.0,189.0,7.0,33.0,9.0,118.0,31.0,17.0,78.0,15.0,8.0,6.0,15.0,5.0,605.0
words,39.0,36.0,153.0,5.0,17.0,12.0,77.0,19.0,46.0,91.0,17.0,47.0,6.0,11.0,25.0,601.0
done,34.0,40.0,101.0,17.0,65.0,10.0,71.0,18.0,18.0,128.0,23.0,26.0,17.0,13.0,18.0,599.0
else,41.0,36.0,197.0,18.0,18.0,4.0,45.0,25.0,50.0,95.0,23.0,11.0,7.0,7.0,19.0,596.0
understand,23.0,47.0,110.0,22.0,10.0,4.0,68.0,31.0,30.0,142.0,10.0,65.0,6.0,13.0,11.0,592.0
sky,111.0,41.0,127.0,10.0,16.0,17.0,66.0,26.0,61.0,49.0,15.0,19.0,3.0,4.0,27.0,592.0
money,20.0,47.0,90.0,17.0,19.0,4.0,37.0,32.0,2.0,269.0,3.0,2.0,28.0,5.0,11.0,586.0
knows,44.0,25.0,233.0,4.0,4.0,5.0,45.0,32.0,9.0,131.0,14.0,14.0,12.0,7.0,6.0,585.0
dreams,38.0,70.0,77.0,12.0,22.0,9.0,112.0,34.0,53.0,74.0,25.0,16.0,9.0,26.0,3.0,580.0
big,43.0,23.0,91.0,27.0,7.0,22.0,46.0,44.0,24.0,197.0,7.0,1.0,30.0,17.0,1.0,580.0
feels,16.0,23.0,334.0,10.0,8.0,4.0,50.0,10.0,21.0,56.0,18.0,10.0,5.0,5.0,9.0,579.0
looking,42.0,21.0,156.0,17.0,13.0,6.0,67.0,40.0,17.0,113.0,22.0,26.0,17.0,7.0,14.0,578.0
