palabra,Queen,Black Sabbath,Fleetwood Mac,Bee Gees,AC/DC,Eagles,The Clash,ABBA,Ramones,Sex Pistols,The Jackson 5,The Carpenters,The Village People,The Stylistics,total
else,8.0,14.0,52.0,86.0,8.0,17.0,10.0,8.0,10.0,26.0,21.0,16.0,0.0,7.0,283.0
even,7.0,20.0,36.0,57.0,14.0,25.0,19.0,30.0,9.0,10.0,29.0,14.0,3.0,10.0,283.0
maybe,9.0,13.0,36.0,57.0,9.0,17.0,8.0,23.0,29.0,8.0,29.0,29.0,3.0,13.0,283.0
body,51.0,24.0,2.0,37.0,19.0,0.0,6.0,2.0,7.0,2.0,53.0,4.0,75.0,0.0,282.0
born,37.0,28.0,7.0,82.0,19.0,2.0,9.0,0.0,8.0,8.0,10.0,23.0,43.0,6.0,282.0
goodbye,24.0,10.0,30.0,99.0,11.0,8.0,3.0,13.0,7.0,6.0,36.0,24.0,1.0,10.0,282.0
round,26.0,19.0,22.0,36.0,88.0,8.0,9.0,16.0,8.0,3.0,18.0,13.0,1.0,12.0,279.0
lose,53.0,23.0,16.0,76.0,17.0,14.0,2.0,17.0,13.0,10.0,24.0,9.0,2.0,2.0,278.0
came,18.0,18.0,17.0,90.0,14.0,11.0,26.0,15.0,7.0,3.0,26.0,19.0,2.0,11.0,277.0
late,39.0,33.0,14.0,44.0,9.0,13.0,5.0,5.0,34.0,1.0,42.0,12.0,2.0,22.0,275.0
days,35.0,24.0,27.0,60.0,7.0,15.0,24.0,19.0,4.0,1.0,18.0,28.0,5.0,7.0,274.0
pain,26.0,46.0,20.0,92.0,11.0,14.0,7.0,11.0,20.0,0.0,10.0,14.0,1.0,2.0,274.0
talk,32.0,16.0,35.0,47.0,37.0,14.0,13.0,18.0,26.0,2.0,12.0,11.0,1.0,10.0,274.0
start,30.0,16.0,28.0,57.0,23.0,12.0,12.0,11.0,17.0,5.0,25.0,27.0,6.0,3.0,272.0
real,49.0,32.0,31.0,42.0,15.0,6.0,6.0,5.0,31.0,8.0,34.0,5.0,3.0,5.0,272.0
first,14.0,21.0,22.0,41.0,40.0,4.0,16.0,13.0,14.0,7.0,23.0,22.0,5.0,28.0,270.0
city,7.0,9.0,9.0,32.0,34.0,13.0,47.0,33.0,25.0,5.0,8.0,9.0,36.0,2.0,269.0
friend,32.0,20.0,24.0,48.0,9.0,12.0,10.0,32.0,16.0,1.0,33.0,17.0,3.0,11.0,268.0
friends,57.0,10.0,16.0,54.0,9.0,13.0,11.0,16.0,15.0,7.0,16.0,20.0,9.0,15.0,268.0
rain,20.0,19.0,20.0,110.0,21.0,4.0,18.0,15.0,14.0,1.0,13.0,1.0,1.0,11.0,268.0
tears,18.0,38.0,21.0,97.0,4.0,5.0,5.0,5.0,7.0,4.0,35.0,25.0,0.0,3.0,267.0
close,13.0,17.0,20.0,71.0,6.0,5.0,4.0,21.0,26.0,1.0,30.0,39.0,5.0,5.0,263.0
line,21.0,30.0,27.0,68.0,39.0,10.0,10.0,5.0,11.0,8.0,14.0,12.0,0.0,7.0,262.0
best,16.0,15.0,26.0,29.0,16.0,38.0,11.0,13.0,16.0,8.0,42.0,18.0,10.0,4.0,262.0
told,23.0,27.0,16.0,67.0,31.0,3.0,12.0,9.0,21.0,4.0,30.0,9.0,1.0,7.0,260.0
looking,18.0,44.0,18.0,28.0,20.0,6.0,16.0,14.0,41.0,19.0,14.0,15.0,0.0,6.0,259.0
hell,10.0,50.0,3.0,12.0,129.0,5.0,26.0,3.0,17.0,2.0,1.0,0.0,0.0,1.0,259.0
road,12.0,21.0,48.0,62.0,30.0,26.0,10.0,3.0,1.0,0.0,22.0,20.0,0.0,3.0,258.0
