palabra,The Beatles,The Rolling Stones,Beach Boys,The Who,The Doors,Led Zeppelin,Jimi Hendrix,Pink Floyd,Velvet Underground,Byrds,The Kinks,The Temptations,The Supremes,The Animals,The Yardbirds,total
babe,19.0,112.0,15.0,4.0,36.0,50.0,8.0,12.0,13.0,15.0,19.0,10.0,57.0,30.0,13.0,413.0
show,42.0,37.0,58.0,23.0,24.0,16.0,10.0,24.0,5.0,25.0,76.0,31.0,19.0,20.0,2.0,412.0
mama,23.0,36.0,129.0,13.0,12.0,65.0,9.0,0.0,6.0,2.0,34.0,29.0,23.0,14.0,9.0,404.0
change,44.0,41.0,30.0,26.0,30.0,8.0,6.0,17.0,4.0,16.0,85.0,24.0,18.0,47.0,6.0,402.0
end,32.0,25.0,15.0,33.0,61.0,7.0,8.0,19.0,8.0,20.0,100.0,23.0,25.0,11.0,14.0,401.0
without,24.0,33.0,42.0,22.0,8.0,4.0,10.0,14.0,7.0,24.0,61.0,38.0,89.0,1.0,19.0,396.0
play,50.0,55.0,54.0,35.0,18.0,9.0,10.0,13.0,4.0,27.0,48.0,18.0,37.0,11.0,5.0,394.0
coming,37.0,90.0,46.0,22.0,21.0,12.0,18.0,16.0,15.0,12.0,32.0,25.0,33.0,6.0,7.0,392.0
bring,36.0,29.0,63.0,29.0,14.0,29.0,3.0,6.0,1.0,10.0,31.0,25.0,63.0,44.0,9.0,392.0
used,21.0,49.0,35.0,34.0,7.0,12.0,18.0,11.0,9.0,15.0,60.0,17.0,41.0,45.0,18.0,392.0
rain,38.0,42.0,39.0,34.0,21.0,10.0,10.0,17.0,19.0,27.0,47.0,40.0,20.0,21.0,5.0,390.0
real,37.0,42.0,55.0,44.0,28.0,3.0,10.0,12.0,8.0,19.0,61.0,13.0,33.0,9.0,13.0,387.0
lonely,63.0,32.0,52.0,17.0,5.0,20.0,15.0,2.0,2.0,8.0,40.0,38.0,48.0,39.0,6.0,387.0
child,31.0,64.0,104.0,17.0,16.0,8.0,21.0,12.0,13.0,8.0,28.0,8.0,32.0,19.0,2.0,383.0
knows,55.0,25.0,79.0,17.0,5.0,6.0,27.0,16.0,16.0,13.0,41.0,20.0,28.0,23.0,11.0,382.0
town,29.0,69.0,59.0,19.0,35.0,12.0,9.0,9.0,7.0,30.0,54.0,8.0,17.0,17.0,8.0,382.0
waiting,71.0,69.0,28.0,18.0,25.0,7.0,7.0,35.0,10.0,20.0,54.0,15.0,15.0,2.0,5.0,381.0
high,18.0,74.0,34.0,38.0,11.0,7.0,11.0,39.0,21.0,21.0,34.0,15.0,34.0,16.0,7.0,380.0
tonight,66.0,40.0,129.0,12.0,28.0,15.0,3.0,11.0,1.0,8.0,33.0,13.0,9.0,9.0,2.0,379.0
young,25.0,62.0,29.0,35.0,20.0,4.0,5.0,9.0,2.0,27.0,58.0,19.0,33.0,46.0,3.0,377.0
side,27.0,44.0,34.0,21.0,32.0,15.0,17.0,33.0,10.0,11.0,57.0,18.0,20.0,34.0,3.0,376.0
someone,47.0,48.0,25.0,27.0,9.0,7.0,8.0,11.0,9.0,27.0,38.0,40.0,46.0,19.0,11.0,372.0
sky,43.0,24.0,41.0,28.0,9.0,6.0,20.0,34.0,11.0,26.0,69.0,10.0,16.0,21.0,14.0,372.0
found,23.0,24.0,56.0,22.0,16.0,16.0,6.0,13.0,9.0,31.0,45.0,38.0,30.0,28.0,12.0,369.0
door,32.0,55.0,11.0,47.0,17.0,24.0,19.0,22.0,25.0,16.0,27.0,13.0,35.0,17.0,9.0,369.0
