palabra,Nirvana,Pearl Jam,Red Hot Chili Peppers,Oasis,Radiohead,Green Day,R.E.M.,Foo Fighters,Beastie Boys,Nine Inch Nails,Blur,Weezer,No Doubt,Smashing Pumpkins,Soundgarden,total
watch,6.0,15.0,21.0,1.0,7.0,28.0,17.0,27.0,27.0,18.0,27.0,18.0,5.0,29.0,10.0,256.0
trying,11.0,22.0,5.0,18.0,13.0,9.0,29.0,15.0,16.0,31.0,20.0,30.0,16.0,8.0,11.0,254.0
sure,8.0,13.0,44.0,22.0,3.0,12.0,22.0,5.0,22.0,15.0,11.0,16.0,17.0,30.0,11.0,251.0
dance,3.0,15.0,80.0,10.0,9.0,11.0,15.0,25.0,30.0,0.0,10.0,29.0,2.0,4.0,7.0,250.0
may,14.0,50.0,19.0,25.0,7.0,16.0,9.0,17.0,14.0,7.0,2.0,19.0,5.0,38.0,6.0,248.0
broken,7.0,17.0,18.0,2.0,30.0,39.0,11.0,32.0,1.0,10.0,4.0,26.0,12.0,28.0,10.0,247.0
hello,90.0,8.0,48.0,10.0,0.0,14.0,17.0,5.0,8.0,1.0,1.0,34.0,1.0,8.0,2.0,247.0
hate,5.0,13.0,12.0,9.0,2.0,17.0,21.0,47.0,13.0,16.0,2.0,32.0,22.0,21.0,15.0,247.0
girls,4.0,8.0,16.0,9.0,1.0,18.0,10.0,6.0,60.0,0.0,33.0,54.0,21.0,3.0,3.0,246.0
shame,37.0,8.0,16.0,23.0,0.0,17.0,3.0,79.0,11.0,5.0,5.0,7.0,0.0,25.0,10.0,246.0
open,5.0,45.0,26.0,11.0,18.0,21.0,11.0,17.0,13.0,13.0,6.0,21.0,15.0,14.0,9.0,245.0
easy,12.0,10.0,12.0,12.0,16.0,4.0,44.0,17.0,15.0,2.0,14.0,23.0,17.0,27.0,19.0,244.0
falling,1.0,36.0,65.0,11.0,11.0,27.0,13.0,4.0,3.0,1.0,5.0,32.0,11.0,17.0,6.0,243.0
shit,26.0,12.0,11.0,6.0,4.0,37.0,5.0,17.0,91.0,9.0,1.0,5.0,5.0,8.0,3.0,240.0
kiss,15.0,5.0,52.0,4.0,4.0,45.0,12.0,10.0,5.0,4.0,8.0,25.0,9.0,31.0,11.0,240.0
fly,4.0,14.0,19.0,29.0,2.0,5.0,32.0,17.0,54.0,1.0,8.0,21.0,2.0,22.0,9.0,239.0
control,3.0,17.0,6.0,2.0,13.0,43.0,5.0,0.0,19.0,78.0,3.0,26.0,8.0,10.0,6.0,239.0
hide,5.0,34.0,17.0,16.0,13.0,14.0,12.0,14.0,9.0,23.0,4.0,17.0,12.0,28.0,20.0,238.0
x,8.0,49.0,18.0,7.0,6.0,10.0,10.0,9.0,12.0,28.0,26.0,24.0,15.0,6.0,8.0,236.0
listen,5.0,9.0,31.0,12.0,11.0,8.0,42.0,14.0,42.0,6.0,4.0,24.0,7.0,15.0,6.0,236.0
ground,5.0,15.0,20.0,9.0,9.0,19.0,35.0,26.0,10.0,9.0,3.0,24.0,13.0,18.0,19.0,234.0
body,8.0,18.0,22.0,9.0,10.0,6.0,8.0,37.0,32.0,3.0,6.0,19.0,6.0,47.0,3.0,234.0
first,7.0,20.0,22.0,2.0,34.0,28.0,23.0,9.0,24.0,2.0,9.0,18.0,7.0,21.0,8.0,234.0
wanted,9.0,20.0,37.0,2.0,11.0,8.0,28.0,27.0,4.0,17.0,1.0,25.0,7.0,23.0,13.0,232.0
road,0.0,32.0,39.0,18.0,9.0,23.0,18.0,22.0,2.0,1.0,18.0,17.0,3.0,19.0,10.0,231.0
stars,6.0,13.0,11.0,19.0,6.0,16.0,22.0,25.0,2.0,2.0,5.0,16.0,2.0,82.0,3.0,230.0
born,11.0,15.0,28.0,20.0,9.0,21.0,8.0,13.0,16.0,0.0,8.0,22.0,8.0,32.0,19.0,230.0
word,7.0,16.0,11.0,17.0,18.0,13.0,10.0,42.0,46.0,6.0,2.0,15.0,2.0,10.0,13.0,228.0
saw,3.0,28.0,34.0,4.0,5.0,9.0,38.0,9.0,28.0,3.0,6.0,24.0,9.0,15.0,12.0,227.0
son,19.0,17.0,14.0,8.0,4.0,29.0,9.0,45.0,26.0,1.0,1.0,19.0,1.0,29.0,5.0,227.0
took,0.0,40.0,19.0,17.0,9.0,13.0,18.0,23.0,30.0,9.0,5.0,13.0,1.0,12.0,17.0,226.0
till,8.0,19.0,18.0,9.0,2.0,25.0,9.0,19.0,24.0,5.0,4.0,30.0,12.0,21.0,21.0,226.0
star,1.0,10.0,32.0,15.0,23.0,18.0,54.0,7.0,4.0,1.0,16.0,11.0,5.0,25.0,4.0,226.0
move,7.0,9.0,48.0,6.0,6.0,9.0,25.0,14.0,26.0,1.0,14.0,30.0,11.0,19.0,1.0,226.0
smile,3.0,18.0,40.0,14.0,12.0,12.0,25.0,7.0,7.0,1.0,7.0,20.0,3.0,29.0,27.0,225.0
boys,0.0,8.0,31.0,10.0,4.0,3.0,8.0,3.0,65.0,0.0,37.0,25.0,21.0,6.0,2.0,223.0
forget,2.0,21.0,16.0,15.0,13.0,21.0,16.0,29.0,9.0,7.0,13.0,18.0,12.0,24.0,7.0,223.0
door,6.0,32.0,21.0,10.0,13.0,16.0,16.0,18.0,13.0,8.0,6.0,32.0,9.0,16.0,6.0,222.0
lies,3.0,24.0,18.0,18.0,15.0,30.0,12.0,9.0,11.0,15.0,0.0,14.0,6.0,16.0,31.0,222.0
ya,15.0,20.0,41.0,19.0,0.0,4.0,3.0,1.0,65.0,1.0,5.0,17.0,0.0,13.0,17.0,221.0
morning,4.0,14.0,19.0,28.0,8.0,4.0,10.0,16.0,10.0,2.0,25.0,36.0,11.0,31.0,2.0,220.0
heaven,4.0,20.0,22.0,17.0,10.0,14.0,31.0,24.0,2.0,3.0,3.0,17.0,16.0,33.0,4.0,220.0
truth,4.0,37.0,13.0,7.0,17.0,27.0,12.0,22.0,14.0,9.0,0.0,22.0,2.0,20.0,14.0,220.0
says,18.0,36.0,16.0,10.0,2.0,12.0,16.0,13.0,12.0,6.0,20.0,25.0,13.0,7.0,14.0,220.0
fear,13.0,33.0,16.0,6.0,10.0,6.0,32.0,20.0,5.0,15.0,5.0,12.0,3.0,31.0,11.0,218.0
party,0.0,4.0,49.0,0.0,1.0,26.0,11.0,3.0,94.0,0.0,8.0,9.0,5.0,2.0,5.0,217.0
nobody,0.0,22.0,12.0,36.0,10.0,34.0,21.0,2.0,15.0,2.0,3.0,42.0,7.0,8.0,2.0,216.0
tried,1.0,15.0,25.0,16.0,10.0,4.0,24.0,6.0,11.0,30.0,7.0,36.0,4.0,12.0,14.0,215.0
