palabra,Arctic Monkeys,Imagine Dragons,Adele,Twenty One Pilots,Ed Sheeran,Mumford & Sons,The Black Keys,Tame Impala,Florence And The Machine,Kendrick Lamar,Lorde,Bruno Mars,Drake,The Weeknd,Lady Gaga,total
lose,8.0,12.0,24.0,18.0,70.0,8.0,16.0,20.0,14.0,18.0,16.0,18.0,61.0,65.0,38.0,406.0
hate,11.0,7.0,11.0,14.0,34.0,4.0,8.0,2.0,6.0,74.0,5.0,16.0,152.0,39.0,20.0,403.0
getting,19.0,9.0,5.0,4.0,54.0,1.0,7.0,24.0,14.0,18.0,16.0,18.0,146.0,51.0,16.0,402.0
fly,5.0,38.0,2.0,25.0,61.0,5.0,4.0,3.0,5.0,37.0,2.0,95.0,85.0,22.0,11.0,400.0
walk,18.0,29.0,14.0,27.0,23.0,15.0,38.0,6.0,2.0,40.0,4.0,18.0,54.0,30.0,82.0,400.0
whole,2.0,4.0,11.0,11.0,24.0,12.0,2.0,5.0,4.0,51.0,5.0,35.0,172.0,41.0,18.0,397.0
goin,3.0,0.0,0.0,12.0,5.0,1.0,13.0,2.0,11.0,26.0,3.0,80.0,164.0,48.0,27.0,395.0
guess,7.0,23.0,5.0,7.0,69.0,11.0,0.0,18.0,9.0,30.0,17.0,10.0,153.0,9.0,24.0,392.0
damn,1.0,1.0,0.0,0.0,36.0,6.0,6.0,0.0,6.0,65.0,1.0,20.0,200.0,30.0,20.0,392.0
ride,6.0,8.0,2.0,42.0,42.0,3.0,4.0,0.0,2.0,44.0,11.0,11.0,104.0,66.0,47.0,392.0
lights,20.0,73.0,26.0,10.0,46.0,10.0,6.0,0.0,8.0,20.0,8.0,13.0,54.0,36.0,61.0,391.0
goes,31.0,54.0,31.0,5.0,48.0,8.0,10.0,7.0,4.0,10.0,5.0,37.0,96.0,10.0,35.0,391.0
seen,21.0,18.0,4.0,13.0,27.0,11.0,10.0,1.0,21.0,66.0,13.0,16.0,102.0,29.0,37.0,389.0
close,14.0,35.0,12.0,15.0,53.0,10.0,12.0,19.0,27.0,29.0,8.0,24.0,35.0,73.0,22.0,388.0
boys,17.0,7.0,0.0,0.0,9.0,1.0,1.0,3.0,4.0,17.0,7.0,7.0,114.0,22.0,179.0,388.0
yall,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,109.0,0.0,19.0,206.0,51.0,0.0,387.0
dark,29.0,28.0,16.0,20.0,57.0,16.0,13.0,1.0,37.0,26.0,19.0,5.0,31.0,48.0,41.0,387.0
ready,4.0,71.0,30.0,3.0,12.0,11.0,4.0,10.0,13.0,35.0,4.0,23.0,102.0,27.0,36.0,385.0
sun,24.0,29.0,5.0,27.0,56.0,34.0,29.0,14.0,23.0,23.0,18.0,8.0,29.0,20.0,44.0,383.0
