palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
truth,NOUN,120.0,113.0,489.0,220.0,399.0,317.0,179.0
radio,NOUN,120.0,127.0,258.0,163.0,148.0,101.0,77.0
brain,NOUN,119.0,139.0,123.0,132.0,311.0,113.0,52.0
diddley,NOUN,118.0,1.0,0.0,5.0,0.0,0.0,0.0
surfin,NOUN,118.0,46.0,0.0,6.0,7.0,7.0,0.0
death,NOUN,118.0,206.0,230.0,190.0,313.0,162.0,66.0
wine,NOUN,118.0,74.0,101.0,71.0,52.0,75.0,110.0
tea,NOUN,117.0,18.0,44.0,38.0,43.0,19.0,48.0
queen,NOUN,116.0,104.0,205.0,93.0,98.0,130.0,196.0
angel,NOUN,116.0,187.0,353.0,87.0,148.0,110.0,139.0
gun,NOUN,115.0,108.0,255.0,156.0,579.0,206.0,73.0
war,NOUN,115.0,203.0,279.0,173.0,377.0,105.0,76.0
rockin,NOUN,115.0,142.0,97.0,83.0,97.0,54.0,25.0
clothes,NOUN,114.0,38.0,117.0,77.0,190.0,156.0,133.0
wah,NOUN,114.0,17.0,6.0,9.0,26.0,2.0,4.0
half,NOUN,113.0,71.0,155.0,136.0,337.0,210.0,138.0
nights,NOUN,113.0,210.0,131.0,41.0,147.0,176.0,137.0
trouble,NOUN,113.0,91.0,145.0,139.0,159.0,135.0,139.0
dawn,NOUN,113.0,55.0,179.0,96.0,65.0,37.0,48.0
bells,NOUN,113.0,85.0,41.0,49.0,54.0,29.0,32.0
lips,NOUN,111.0,84.0,259.0,64.0,190.0,161.0,179.0
power,NOUN,110.0,174.0,570.0,127.0,341.0,111.0,82.0
peace,NOUN,109.0,150.0,255.0,155.0,241.0,166.0,84.0
clear,ADJ,109.0,76.0,115.0,139.0,224.0,108.0,107.0
business,NOUN,109.0,96.0,98.0,55.0,183.0,135.0,76.0
ball,NOUN,107.0,80.0,139.0,55.0,281.0,116.0,105.0
streets,NOUN,107.0,78.0,150.0,91.0,310.0,184.0,78.0
monkey,NOUN,107.0,11.0,49.0,80.0,65.0,14.0,8.0
comin,NOUN,106.0,93.0,261.0,108.0,433.0,296.0,153.0
bird,NOUN,106.0,52.0,67.0,54.0,62.0,80.0,31.0
share,NOUN,106.0,114.0,145.0,112.0,110.0,94.0,35.0
wonderful,ADJ,105.0,38.0,119.0,29.0,62.0,54.0,50.0
instrumental,ADJ,105.0,39.0,28.0,78.0,29.0,10.0,1.0
yesterday,NOUN,105.0,113.0,208.0,63.0,110.0,88.0,42.0
oop,NOUN,104.0,0.0,21.0,0.0,1.0,0.0,0.0
phone,NOUN,104.0,95.0,167.0,96.0,299.0,321.0,260.0
minute,NOUN,104.0,79.0,110.0,70.0,288.0,140.0,112.0
drip,NOUN,103.0,2.0,39.0,13.0,65.0,23.0,67.0
happiness,NOUN,103.0,73.0,105.0,38.0,28.0,48.0,40.0
ways,NOUN,102.0,95.0,146.0,99.0,142.0,161.0,107.0
flowers,NOUN,102.0,32.0,97.0,63.0,31.0,52.0,42.0
sick,ADJ,101.0,69.0,135.0,171.0,498.0,151.0,111.0
evening,NOUN,100.0,46.0,64.0,38.0,55.0,55.0,18.0
silver,NOUN,100.0,107.0,70.0,56.0,51.0,36.0,32.0
animal,NOUN,100.0,34.0,64.0,68.0,94.0,76.0,19.0
highway,NOUN,99.0,92.0,106.0,17.0,48.0,50.0,40.0
step,NOUN,99.0,70.0,341.0,155.0,394.0,168.0,142.0
country,NOUN,98.0,87.0,62.0,116.0,132.0,38.0,51.0
wise,ADJ,98.0,58.0,46.0,40.0,45.0,21.0,21.0
trees,NOUN,98.0,69.0,116.0,77.0,90.0,61.0,52.0
tune,NOUN,98.0,47.0,50.0,48.0,65.0,55.0,27.0
winter,NOUN,97.0,59.0,85.0,54.0,72.0,71.0,52.0
drop,NOUN,97.0,51.0,188.0,92.0,680.0,306.0,221.0
different,ADJ,96.0,59.0,251.0,145.0,357.0,329.0,148.0
fade,NOUN,96.0,187.0,230.0,138.0,132.0,93.0,78.0
walkin,ADJ,95.0,59.0,94.0,60.0,119.0,50.0,58.0
knees,NOUN,95.0,80.0,393.0,143.0,140.0,120.0,200.0
hearts,NOUN,95.0,109.0,247.0,133.0,83.0,138.0,49.0
freedom,NOUN,94.0,79.0,274.0,50.0,95.0,45.0,31.0
hours,NOUN,91.0,95.0,91.0,52.0,103.0,78.0,65.0
rich,ADJ,91.0,43.0,110.0,27.0,353.0,170.0,135.0
proud,ADJ,91.0,39.0,87.0,50.0,92.0,80.0,45.0
nose,NOUN,91.0,17.0,48.0,35.0,115.0,52.0,37.0
hill,NOUN,91.0,29.0,53.0,42.0,60.0,49.0,23.0
waves,NOUN,90.0,13.0,65.0,70.0,83.0,68.0,63.0
oooo,NOUN,90.0,0.0,4.0,3.0,15.0,21.0,1.0
skin,NOUN,90.0,36.0,554.0,161.0,304.0,152.0,126.0
insane,ADJ,90.0,75.0,125.0,102.0,124.0,56.0,68.0
hell,NOUN,90.0,259.0,496.0,291.0,594.0,220.0,276.0
snow,NOUN,89.0,67.0,78.0,76.0,82.0,57.0,167.0
picture,NOUN,89.0,53.0,173.0,87.0,255.0,153.0,100.0
cat,NOUN,88.0,36.0,45.0,53.0,94.0,24.0,81.0
doctor,NOUN,87.0,64.0,77.0,43.0,104.0,40.0,33.0
luck,NOUN,87.0,54.0,91.0,83.0,121.0,82.0,47.0
lucky,ADJ,87.0,64.0,168.0,65.0,82.0,104.0,79.0
week,NOUN,87.0,16.0,66.0,43.0,155.0,132.0,92.0
story,NOUN,87.0,114.0,251.0,127.0,169.0,145.0,118.0
space,NOUN,86.0,57.0,230.0,145.0,169.0,151.0,123.0
dirty,ADJ,86.0,113.0,207.0,203.0,258.0,184.0,61.0
evil,NOUN,86.0,142.0,85.0,52.0,143.0,84.0,22.0
folks,NOUN,85.0,50.0,32.0,22.0,94.0,8.0,14.0
guys,NOUN,85.0,28.0,60.0,48.0,134.0,91.0,50.0
sugar,NOUN,85.0,46.0,172.0,59.0,92.0,35.0,108.0
fever,NOUN,84.0,52.0,465.0,31.0,54.0,65.0,32.0
book,NOUN,84.0,53.0,138.0,81.0,103.0,41.0,37.0
romance,NOUN,84.0,34.0,180.0,8.0,26.0,81.0,31.0
answer,NOUN,83.0,108.0,148.0,59.0,139.0,67.0,58.0
style,NOUN,83.0,55.0,181.0,76.0,361.0,106.0,38.0
clouds,NOUN,83.0,46.0,120.0,79.0,103.0,98.0,38.0
