palabra,Billie Eilish,Halsey,Harry Styles,Lana Del Rey,Dua Lipa,Post Malone,Megan Thee Stallion,HAIM,Taylor Swift,Bad Bunny,Ariana Grande,Travis Scott,Doja Cat,Blackpink,total
knew,11.0,16.0,2.0,67.0,31.0,11.0,15.0,25.0,141.0,0.0,40.0,52.0,11.0,4.0,426.0
fire,22.0,26.0,10.0,110.0,34.0,4.0,9.0,6.0,51.0,42.0,33.0,17.0,9.0,52.0,425.0
walk,9.0,21.0,11.0,52.0,27.0,11.0,37.0,19.0,97.0,0.0,42.0,49.0,20.0,22.0,417.0
please,14.0,34.0,4.0,34.0,36.0,22.0,51.0,16.0,59.0,5.0,56.0,33.0,47.0,5.0,416.0
soy,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,398.0,8.0,0.0,1.0,0.0,414.0
someone,13.0,36.0,16.0,45.0,60.0,17.0,0.0,6.0,97.0,34.0,40.0,19.0,24.0,5.0,412.0
watch,42.0,10.0,2.0,34.0,24.0,39.0,50.0,2.0,82.0,0.0,30.0,50.0,33.0,10.0,408.0
everybody,20.0,28.0,10.0,66.0,22.0,35.0,29.0,2.0,106.0,0.0,37.0,14.0,14.0,25.0,408.0
done,5.0,19.0,16.0,58.0,24.0,34.0,38.0,7.0,36.0,0.0,52.0,73.0,27.0,18.0,407.0
running,0.0,43.0,20.0,31.0,105.0,39.0,9.0,35.0,58.0,1.0,31.0,3.0,25.0,2.0,402.0
pretty,19.0,20.0,7.0,83.0,29.0,22.0,32.0,12.0,40.0,0.0,32.0,1.0,25.0,80.0,402.0
sweet,2.0,17.0,23.0,104.0,31.0,18.0,10.0,3.0,77.0,0.0,40.0,31.0,31.0,14.0,401.0
lie,26.0,28.0,6.0,89.0,50.0,22.0,19.0,12.0,30.0,0.0,48.0,23.0,40.0,8.0,401.0
coming,10.0,60.0,10.0,63.0,17.0,16.0,12.0,21.0,102.0,3.0,67.0,9.0,9.0,1.0,400.0
yah,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,113.0,22.0,248.0,398.0
remember,12.0,30.0,7.0,73.0,29.0,12.0,7.0,13.0,163.0,0.0,36.0,9.0,6.0,1.0,398.0
going,2.0,14.0,55.0,87.0,16.0,23.0,10.0,23.0,76.0,0.0,44.0,30.0,10.0,8.0,398.0
damn,12.0,43.0,7.0,24.0,13.0,90.0,51.0,8.0,36.0,1.0,19.0,61.0,26.0,1.0,392.0
una,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,385.0,0.0,1.0,0.0,0.0,390.0
mean,27.0,37.0,9.0,56.0,23.0,7.0,45.0,5.0,66.0,1.0,44.0,18.0,43.0,8.0,389.0
came,15.0,14.0,2.0,36.0,13.0,72.0,26.0,41.0,80.0,1.0,26.0,44.0,16.0,1.0,387.0
till,20.0,10.0,16.0,65.0,40.0,9.0,26.0,10.0,67.0,4.0,41.0,25.0,41.0,10.0,384.0
pussy,1.0,4.0,0.0,4.0,2.0,15.0,227.0,0.0,0.0,3.0,10.0,60.0,58.0,0.0,384.0
